Number,Name,Total docks
0,7 Ave & Farragut St,-2
0,E 42 St & Vanderbilt Ave,-2
0,Cadman Plaza West & Montague St,-2
0,Shevchenko Pl & E 7 St,-2
0,Peck Slip & Front Street,35
0,E 48 St & Madison Ave,-2
0,NYCBS Depot - SSP,-2
0,Cadman Plaza W & Pierrepont St,-2
0,Mobile 01,-2
0,E.T. Bike-In Movie Valet Station ,-2
0,Soissons Landing,-2
0,Center Blvd & Borden Ave,19
0,Yankee Ferry Terminal,-2
0,21 St & Queens Plaza North,-2
0,N Henry St & Richardson St,19
0,Hanson Pl & St Felix St,-2
0,E 67 St & Lexington Ave,-2
0,E 82 St & 2 Ave,-2
0,5 Ave & E 63 St,-2
0,Riverside Dr & W 72 St ,41
0,Marcy Ave & MacDonough St,-2
0,Central Park West & W 85 St,30
0,E 40 St & Madison Ave,-2
0,NYCBS Depot - DEL,-2
0,NYCBS Depot - STY,-2
0,NYCBS Depot - FAR,-2
0,Warren St,21
0,Essex Light Rail,21
0,Newark Ave,22
0,NYCBS Depot - DYR,-2
0,PABT Valet,-2
0,E 77 St & 3 Ave,-1
0,Christ Hospital,22
0,Paulus Hook,13
0,Exchange Place,30
0,E 77 St & Park Ave,-2
0,Grove St PATH,40
0,NYCBS Depot BAL - DYR,-2
0,Van Vorst Park,21
0,KentAve&N7 St,47
0,Newport PATH,18
0,City Hall,22
0,5 Corners Library,18
0,8 Ave & W 31 St N,66
0,NYCBS Depot - PIT,-2
0,SSP Tech Workshop,-2
0,Hilltop,26
0,Heights Elevator,17
0,3969.TEMP (Bike The Branches - Central Branch),-2
0,Bike The Branches - Central Branch,-2
0,Bike The Branches - Red Hook Branch,-2
0,Baldwin at Montgomery,12
0,Adventures NYC,-2
0,Mercer St & Bleecker St S,29
0,Union St,16
0,Liberty Light Rail,21
0,Riverview Park,17
0,Lafayette St & Jersey St N,38
0,Greenwich St & North Moore St,-2
0,Kiosk in a box Motivate,-2
0,8D OPS 01,-2
0,Kiosk in a box Deployment,-2
0,SSP - Basement,-2
0,W 87 St & West End Ave,-2
0,Riverside Dr & W 91 St,-1
0,2 Ave & E 105 St,-2
0,Dixon Mills,18
0,Newport Pkwy,13
0,Bike in Movie Night | Prospect Park Bandshell,-2
0,Greenwich St & Hubert St,31
0,Marin Light Rail,26
0,Morris Canal,14
